sample_scope,id,payment_pi,payment_type,weighted_count_denominator,weighted_count_numerator,weighted_dollar_denominator,weighted_dollar_numerator,weighted_count_share,weighted_dollar_share
full_unrestricted,105114,5,Prepaid/gift/EBT card,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,6,Bank account number payment,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,7,Online banking bill payment,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,8,Money order,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,10,Mobile payment app,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,11,Account-to-account transfer,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,13,Other payment method,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,14,Deduction from income,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105115,1,Cash,0.24999000132083893,0.24999000132083893,2.099916011095047,2.099916011095047,1,1
full_unrestricted,105115,2,Check,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,3,Credit card,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,4,Debit card,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,5,Prepaid/gift/EBT card,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,6,Bank account number payment,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,7,Online banking bill payment,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,8,Money order,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,10,Mobile payment app,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,11,Account-to-account transfer,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,13,Other payment method,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105115,14,Deduction from income,0.24999000132083893,0,2.099916011095047,0,0,0
full_unrestricted,105116,1,Cash,20.38541841506958,11.440170049667358,734.6315240859985,228.80340099334717,0.5611937815909829,0.3114532843904513
full_unrestricted,105116,2,Check,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,3,Credit card,20.38541841506958,8.945248365402222,734.6315240859985,505.82812309265137,0.4388062184090171,0.6885467156095487
full_unrestricted,105116,4,Debit card,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,5,Prepaid/gift/EBT card,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,6,Bank account number payment,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,7,Online banking bill payment,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,8,Money order,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,10,Mobile payment app,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,11,Account-to-account transfer,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,13,Other payment method,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105116,14,Deduction from income,20.38541841506958,0,734.6315240859985,0,0,0
full_unrestricted,105118,1,Cash,2.5685479640960693,2.175306737422943,55.00183478832245,18.748926101326944,0.846901349645804,0.3408781938544997
full_unrestricted,105118,2,Check,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,3,Credit card,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,4,Debit card,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,5,Prepaid/gift/EBT card,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,6,Bank account number payment,2.5685479640960693,0.3932412266731262,55.00183478832245,36.252908686995504,0.15309865035419604,0.6591218061455003
full_unrestricted,105118,7,Online banking bill payment,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,8,Money order,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,10,Mobile payment app,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,11,Account-to-account transfer,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,13,Other payment method,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105118,14,Deduction from income,2.5685479640960693,0,55.00183478832245,0,0,0
full_unrestricted,105119,1,Cash,4.320149064064026,1.2726352214813232,155.114740601182,13.788388288021089,0.29458132175748053,0.08889154076898878
full_unrestricted,105119,2,Check,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,3,Credit card,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,4,Debit card,4.320149064064026,1.7650266885757446,155.114740601182,35.52116210758686,0.4085568952371655,0.22899926834752532
full_unrestricted,105119,5,Prepaid/gift/EBT card,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,6,Bank account number payment,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,7,Online banking bill payment,4.320149064064026,1.282487154006958,155.114740601182,105.80519020557404,0.296861783005354,0.6821091908834858
full_unrestricted,105119,8,Money order,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,10,Mobile payment app,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,11,Account-to-account transfer,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,13,Other payment method,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105119,14,Deduction from income,4.320149064064026,0,155.114740601182,0,0,0
full_unrestricted,105121,1,Cash,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,2,Check,5.325320303440094,1.11295485496521,19296.19667559445,19198.471248149872,0.20899303545107967,0.9949355083238668
full_unrestricted,105121,3,Credit card,5.325320303440094,4.212365448474884,19296.19667559445,97.72542744457722,0.7910069645489203,0.005064491676133201
full_unrestricted,105121,4,Debit card,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,5,Prepaid/gift/EBT card,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,6,Bank account number payment,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,7,Online banking bill payment,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,8,Money order,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,10,Mobile payment app,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,11,Account-to-account transfer,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,13,Other payment method,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105121,14,Deduction from income,5.325320303440094,0,19296.19667559445,0,0,0
full_unrestricted,105125,1,Cash,1.3859719634056091,1.3859719634056091,4.157915890216827,4.157915890216827,1,1
full_unrestricted,105125,2,Check,1.3859719634056091,0,4.157915890216827,0,0,0
full_unrestricted,105125,3,Credit card,1.3859719634056091,0,4.157915890216827,0,0,0
