transaction_row_id,id,diary_day,tran,transaction_date,diary_date,dow_weight,amnt,payment,pi,payment_instrument,multipi_breakdown,mixed_payment_method,ambiguous_payment_method,merch,tely_group,tely_category,category_rule,crosswalk_quality,pay010,pay011,pay016,pay020,pay030,pay040,pay041,pay042,pay050,count_eligible,dollar_eligible,liquid_narrow_count,liquid_broad_count,not_liquid_narrow_count,not_liquid_broad_count,liquid_narrow_amount,liquid_broad_amount,parsed_component_total,component_total_gap,component_total_matches
14499,100782,3,1,2019-10-28,2019-10-28,0.9986234307289124,572,1,6,Bank account number payment,,FALSE,FALSE,17,cash_contributions,cash_contributions,merch17_pay050_donation_or_offering,followup_identified,,,,,,,,,2,TRUE,TRUE,0,1,1,0,0,572,572,0,TRUE
14500,100782,3,2,2019-10-28,2019-10-28,0.9986234307289124,8.14,1,3,Credit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,8.14,0,TRUE
14501,100782,3,3,2019-10-28,2019-10-28,0.9986234307289124,16.9,1,3,Credit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,16.9,0,TRUE
14502,100782,3,4,2019-10-28,2019-10-28,0.9986234307289124,24.82,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,24.82,0,TRUE
14503,105337,1,1,2019-10-18,2019-10-18,2.6788580417633057,9.74,1,3,Credit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,9.74,0,TRUE
14504,105337,1,2,2019-10-18,2019-10-18,2.6788580417633057,32.74,1,3,Credit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,32.74,0,TRUE
14505,105337,1,3,2019-10-18,2019-10-18,2.6788580417633057,21.07,1,3,Credit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,21.07,0,TRUE
14506,105337,1,4,2019-10-18,2019-10-18,2.6788580417633057,4.38,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,4.38,0,TRUE
14514,105337,2,7,2019-10-19,2019-10-19,2.5086514949798584,76.95,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,76.95,0,TRUE
14515,105337,2,8,2019-10-19,2019-10-19,2.5086514949798584,40.91,1,3,Credit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,40.91,0,TRUE
14517,105337,3,1,2019-10-20,2019-10-20,1.9042116403579712,10.4,1,3,Credit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,10.4,0,TRUE
14518,105337,3,2,2019-10-20,2019-10-20,1.9042116403579712,18.38,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,18.38,0,TRUE
14530,100653,1,1,2019-10-14,2019-10-14,3.7741858959198,32.25,1,7,Online banking bill payment,,FALSE,FALSE,8,utilities,utilities,merch8_nongovernment_utility,merchant_or_followup_match,,,,,,,,,,TRUE,TRUE,0,1,1,0,0,32.25,32.25,0,TRUE
14533,100653,2,1,2019-10-15,2019-10-15,2.9898321628570557,47.12,1,4,Debit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,47.12,47.12,47.12,0,TRUE
14538,103815,1,1,2019-10-03,2019-10-03,4.001199722290039,21.25,1,4,Debit card,,FALSE,FALSE,8,utilities,utilities,merch8_nongovernment_utility,merchant_or_followup_match,,,,,,,,,,TRUE,TRUE,1,1,0,0,21.25,21.25,21.25,0,TRUE
14540,103815,2,2,2019-10-04,2019-10-04,4.00123929977417,10,1,4,Debit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,10,10,10,0,TRUE
14541,103815,2,3,2019-10-04,2019-10-04,4.00123929977417,21.25,1,4,Debit card,,FALSE,FALSE,8,utilities,utilities,merch8_nongovernment_utility,merchant_or_followup_match,,,,,,,,,,TRUE,TRUE,1,1,0,0,21.25,21.25,21.25,0,TRUE
14542,103815,3,1,2019-10-05,2019-10-05,4.001072406768799,70,1,4,Debit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,70,70,70,0,TRUE
14544,103002,1,1,2019-10-29,2019-10-29,0.4877292513847351,44.4,1,3,Credit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,44.4,0,TRUE
14546,103002,2,2,2019-10-30,2019-10-30,0.5262497067451477,840,1,2,Check,,FALSE,FALSE,14,rent,rent,merch14_rent,direct_merchant_match,,,,,,,,,,TRUE,TRUE,1,1,0,0,840,840,840,0,TRUE
14547,103002,2,3,2019-10-30,2019-10-30,0.5262497067451477,58,1,3,Credit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,58,0,TRUE
14548,103002,2,4,2019-10-30,2019-10-30,0.5262497067451477,2,1,1,Cash,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,2,2,2,0,TRUE
14549,103002,2,5,2019-10-30,2019-10-30,0.5262497067451477,66.33,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,66.33,0,TRUE
14553,103002,3,3,2019-10-31,2019-10-31,0.5299995541572571,69,1,3,Credit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,69,0,TRUE
14554,103002,3,4,2019-10-31,2019-10-31,0.5299995541572571,2000,1,7,Online banking bill payment,,FALSE,FALSE,15,mortgage,mortgage_payment,merch15_pay010_loan_pay011_mortgage,followup_identified,2,1,,,,,,,,TRUE,TRUE,0,1,1,0,0,2000,2000,0,TRUE
14558,101469,1,1,2019-10-04,2019-10-04,0.7287099361419678,21.9,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,21.9,0,TRUE
14562,103118,1,2,2019-10-26,2019-10-26,1.8610525131225584,18.3,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,18.3,0,TRUE
14563,103118,1,3,2019-10-26,2019-10-26,1.8610525131225584,11,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,11,0,TRUE
