case_id,n_implicates,pass_age_25_64,pass_income_floor_all_implicates,pass_income_floor_any_implicate,income_mean_across_implicates,pass_income_floor_mean,income_shadow_values,pass_complete_income_candidate,pass_income_no_bound_diagnostic,pass_valid_income,pass_valid_cc_debt,pass_valid_liquid_assets,pass_valid_payoff_frequency,pass_valid_asset_cc_j_codes,pass_valid_weight,pass_complete_implicates,pass_valid_core_data,keep_age_only,keep_after_income_floor,keep_after_income_complete,keep_final
53,5,FALSE,TRUE,TRUE,4000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
54,5,TRUE,TRUE,TRUE,6000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
55,5,FALSE,TRUE,TRUE,40600,TRUE,944.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
56,5,TRUE,TRUE,TRUE,30000,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
57,5,TRUE,TRUE,TRUE,279000,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,5,TRUE,TRUE,TRUE,3360000,TRUE,941,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
59,5,TRUE,TRUE,TRUE,142800,TRUE,2053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
60,5,TRUE,TRUE,TRUE,47800,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
61,5,TRUE,TRUE,TRUE,31200,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
62,5,TRUE,TRUE,TRUE,66800,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
63,5,TRUE,TRUE,TRUE,20400,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,5,TRUE,TRUE,TRUE,41000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
65,5,TRUE,TRUE,TRUE,790000,TRUE,914,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
66,5,TRUE,TRUE,TRUE,262400,TRUE,1095,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
67,5,FALSE,TRUE,TRUE,8600,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
68,5,TRUE,TRUE,TRUE,25000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
69,5,TRUE,TRUE,TRUE,21000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
70,5,TRUE,TRUE,TRUE,12000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
71,5,FALSE,TRUE,TRUE,25000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
72,5,TRUE,TRUE,TRUE,2000000,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
73,5,TRUE,TRUE,TRUE,17000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
74,5,FALSE,TRUE,TRUE,27000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
75,5,FALSE,TRUE,TRUE,9600,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
76,5,FALSE,TRUE,TRUE,7900,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
77,5,TRUE,TRUE,TRUE,110000,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
78,5,TRUE,TRUE,TRUE,41600,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
79,5,TRUE,TRUE,TRUE,65800,TRUE,910,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,5,TRUE,TRUE,TRUE,2988000,TRUE,941,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
81,5,FALSE,TRUE,TRUE,36000,TRUE,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
82,5,FALSE,TRUE,TRUE,9760,TRUE,2053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
83,5,TRUE,TRUE,TRUE,87200,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
84,5,TRUE,TRUE,TRUE,70000,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
85,5,TRUE,TRUE,TRUE,410800,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
86,5,TRUE,TRUE,TRUE,148400,TRUE,1095,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
87,5,TRUE,TRUE,TRUE,86000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
88,5,TRUE,TRUE,TRUE,511600,TRUE,941,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
89,5,TRUE,TRUE,TRUE,68000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
90,5,FALSE,TRUE,TRUE,39200,TRUE,2053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
91,5,TRUE,TRUE,TRUE,678000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
92,5,TRUE,TRUE,TRUE,368200,TRUE,2053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
93,5,TRUE,TRUE,TRUE,8280,TRUE,907,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
94,5,FALSE,TRUE,TRUE,10000,TRUE,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
