sample_window,qyears,truncation_rule,n_households,n_cuids,n_complete_12_month_households,n_partial_panel_households,weighted_population,mean_abs_diff,max_abs_diff,household_gap_vs_target,complete_12_month_gap_vs_target,partial_panel_gap_vs_target,borrow_share,borrow_and_save_share,save_share,total_count_abs_gap
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,require positive weights in interviews 2-5,2258,602,2258,0,7849979.982499999,0.7652800306572765,1.1479200459858916,-485,94,-579,6.965753090695859,30.14792004598589,62.8863268633182,579
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,require valid liquid assets in interviews 2-5,2258,602,2258,0,7849979.982499999,0.7652800306572765,1.1479200459858916,-485,94,-579,6.965753090695859,30.14792004598589,62.8863268633182,579
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,require interviews 2-5 consecutive,2250,2250,2250,0,7811094.253249998,0.8026842209367135,1.2040263314050605,-493,86,-579,7.174039873054193,30.029986458350887,62.79597366859494,579
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,require interviews 2-5 present,2250,2250,2250,0,7811094.253249998,0.8026842209367135,1.2040263314050605,-493,86,-579,7.174039873054193,30.029986458350887,62.79597366859494,579
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,require positive weights in interviews 2-5,2250,2250,2250,0,7811094.253249998,0.8026842209367135,1.2040263314050605,-493,86,-579,7.174039873054193,30.029986458350887,62.79597366859494,579
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,require valid liquid assets in interviews 2-5,2250,2250,2250,0,7811094.253249998,0.8026842209367135,1.2040263314050605,-493,86,-579,7.174039873054193,30.029986458350887,62.79597366859494,579
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,require interviews 2-5 consecutive,2224,1132,2224,0,7790074.289500006,0.8810413093557917,1.3215619640337124,-519,60,-579,7.074220899828806,30.247341064204857,62.67843803596629,579
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,require interviews 2-5 present,2224,1132,2224,0,7790074.289500006,0.8810413093557917,1.3215619640337124,-519,60,-579,7.074220899828806,30.247341064204857,62.67843803596629,579
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,require positive weights in interviews 2-5,2224,1132,2224,0,7790074.289500006,0.8810413093557917,1.3215619640337124,-519,60,-579,7.074220899828806,30.247341064204857,62.67843803596629,579
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,require valid liquid assets in interviews 2-5,2224,1132,2224,0,7790074.289500006,0.8810413093557917,1.3215619640337124,-519,60,-579,7.074220899828806,30.247341064204857,62.67843803596629,579
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,require age 25-64 in interviews 2-5,2202,2202,2202,0,7644805.709999998,0.9035074278340698,1.3552611417511145,-541,38,-579,7.229911474754795,30.1253496669963,62.644738858248886,579
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,require age 25-64 in interviews 2-5,2206,589,2206,0,7663398.8079999965,0.9078541539649946,1.3617812309474786,-537,42,-579,7.006269002854173,30.355512228093332,62.63821876905252,579
rolling_2001Q3_to_2002Q2,20013;20014;20021;20022,require age 25-64 in interviews 2-5,2176,1109,2176,0,7607895.379000005,1.0286926888614456,1.5430390332922101,-567,12,-579,7.113599077530102,30.429439955762025,62.45696096670779,579
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,require interviews 2-5 consecutive,2227,1667,2227,0,7769891.90625,1.0887859962626933,1.6331789943939938,-516,63,-579,7.617938597368109,30.015240397025977,62.366821005606006,579
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,require interviews 2-5 present,2227,1667,2227,0,7769891.90625,1.0887859962626933,1.6331789943939938,-516,63,-579,7.617938597368109,30.015240397025977,62.366821005606006,579
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,require positive weights in interviews 2-5,2227,1667,2227,0,7769891.90625,1.0887859962626933,1.6331789943939938,-516,63,-579,7.617938597368109,30.015240397025977,62.366821005606006,579
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,require valid liquid assets in interviews 2-5,2227,1667,2227,0,7769891.90625,1.0887859962626933,1.6331789943939938,-516,63,-579,7.617938597368109,30.015240397025977,62.366821005606006,579
