QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20181,03763842,24,0,1,,A,1,D,,A,1,D,1,D,,A,48,E,49,E,48,E,90,E,90,E,91,E,62,E,61,E,61,E,,A,,A,,A,2,D,1,D
20181,03763852,41,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,74,D,74,D,74,D,,A,1,D
20181,03763852,42,0,1,,A,,A,,A,1,D,2,D,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763862,84,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,278,D,273,D,172,D,,A,1,D
20181,03763862,85,0,1,,A,,A,,A,1,D,1,D,,A,59,E,74,E,69,E,109,E,133,E,128,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03763932,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,240,D,240,D,240,D,,A,1,D
20181,03763932,18,0,1,,A,,A,,A,1,D,2,D,,A,69,D,69,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763932,19,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,73,D,73,D,73,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763952,37,0,1,,A,1,D,,A,1,D,1,D,,A,57,E,57,E,67,E,108,E,109,E,106,E,50,E,49,E,57,E,,A,,A,,A,2,D,1,D
20181,03763952,38,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,95,D,95,D,95,D,,A,1,D
20181,03763972,16,0,1,,A,,A,,A,1,D,2,D,,A,25,D,25,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763972,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,61,D,61,D,559,T,,A,1,D
20181,03763982,47,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,147,D,147,D,147,D,,A,1,D
20181,03763982,48,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,180,D,180,D,180,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763992,8,0,1,,A,1,D,,A,1,D,1,D,,A,32,E,31,E,30,E,53,E,52,E,53,E,35,E,37,E,37,E,,A,,A,,A,2,D,1,D
20181,03764012,31,0,1,,A,,A,,A,1,D,2,D,,A,45,D,45,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764042,44,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,177,D,177,D,177,D,,A,,A,,A,,A,1,D
20181,03764042,45,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,143,D,143,D,143,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764052,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D
20181,03764052,20,0,1,,A,,A,,A,1,D,2,D,,A,75,D,75,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764112,22,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,41,D,41,D,41,D,,A,,A,,A,,A,1,D
20181,03764112,23,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,107,D,108,D,108,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764112,24,0,1,,A,,A,,A,1,D,2,D,,A,68,D,68,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03764122,49,0,1,,A,,A,2,D,1,D,2,D,,A,90,E,90,E,73,E,,A,,A,,A,,A,,A,,A,179,E,179,E,144,E,1,D,1,D
20181,03764152,22,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,45,D,45,D,45,D,,A,,A,,A,,A,1,D
20181,03764152,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,150,D,150,D,,A,1,D
20181,03764152,24,0,1,,A,,A,,A,1,D,1,D,,A,39,E,39,E,39,E,61,E,61,E,61,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03764192,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,151,D,151,D,151,D,,A,1,D
20181,03764192,33,0,1,,A,,A,,A,1,D,1,D,,A,40,D,40,D,40,D,94,D,94,D,94,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03764202,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,340,D,340,D,340,D,,A,1,D
