NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03891234,12,2018,800940,2,,2,272.5833
03891234,12,2018,800940,2,,3,272
03891234,12,2018,800940,2,,4,109
03891234,12,2018,800940,2,,5,87.3333
03891234,12,2018,900000,2,,1,1576.5833
03891234,12,2018,900000,2,,2,3562.9167
03891234,12,2018,900000,2,,3,3555.8333
03891234,12,2018,900000,2,,4,1425.1667
03891234,12,2018,900000,2,,5,1141.3333
03891234,12,2018,980000,2,,1,1576.5833
03891234,12,2018,980000,2,,2,3562.9167
03891234,12,2018,980000,2,,3,3555.8333
03891234,12,2018,980000,2,,4,1425.1667
03891234,12,2018,980000,2,,5,1141.3333
03891234,12,2018,980071,2,,1,1459.1666667
03891234,12,2018,980071,2,,2,3445.5
03891234,12,2018,980071,2,,3,3438.4166667
03891234,12,2018,980071,2,,4,1307.75
03891234,12,2018,980071,2,,5,1023.9166667
03891244,10,2018,800940,2,,1,674.5
03891244,10,2018,800940,2,,2,645.8333
03891244,10,2018,800940,2,,3,843.6667
03891244,10,2018,800940,2,,4,823.4167
03891244,10,2018,800940,2,,5,807
03891244,10,2018,900000,2,,1,8817.1667
03891244,10,2018,900000,2,,2,8442.0833
03891244,10,2018,900000,2,,3,11029
03891244,10,2018,900000,2,,4,10763.8333
03891244,10,2018,900000,2,,5,10548.5833
03891244,10,2018,980000,2,,1,8817.1667
03891244,10,2018,980000,2,,2,8442.0833
03891244,10,2018,980000,2,,3,11029
03891244,10,2018,980000,2,,4,10763.8333
03891244,10,2018,980000,2,,5,10548.5833
03891244,10,2018,980071,2,,1,7409
03891244,10,2018,980071,2,,2,7033.9166667
03891244,10,2018,980071,2,,3,9620.8333333
03891244,10,2018,980071,2,,4,9355.6666667
03891244,10,2018,980071,2,,5,9140.4166667
03891244,11,2018,800940,2,,1,674.5
03891244,11,2018,800940,2,,2,645.8333
03891244,11,2018,800940,2,,3,843.6667
03891244,11,2018,800940,2,,4,823.4167
03891244,11,2018,800940,2,,5,807
03891244,11,2018,900000,2,,1,8817.1667
03891244,11,2018,900000,2,,2,8442.0833
03891244,11,2018,900000,2,,3,11029
03891244,11,2018,900000,2,,4,10763.8333
03891244,11,2018,900000,2,,5,10548.5833
03891244,11,2018,980000,2,,1,8817.1667
03891244,11,2018,980000,2,,2,8442.0833
03891244,11,2018,980000,2,,3,11029
03891244,11,2018,980000,2,,4,10763.8333
03891244,11,2018,980000,2,,5,10548.5833
03891244,11,2018,980071,2,,1,7409
03891244,11,2018,980071,2,,2,7033.9166667
03891244,11,2018,980071,2,,3,9620.8333333
03891244,11,2018,980071,2,,4,9355.6666667
03891244,11,2018,980071,2,,5,9140.4166667
03891244,12,2018,800940,2,,1,674.5
03891244,12,2018,800940,2,,2,645.8333
03891244,12,2018,800940,2,,3,843.6667
03891244,12,2018,800940,2,,4,823.4167
03891244,12,2018,800940,2,,5,807
03891244,12,2018,900000,2,,1,8817.1667
03891244,12,2018,900000,2,,2,8442.0833
03891244,12,2018,900000,2,,3,11029
03891244,12,2018,900000,2,,4,10763.8333
03891244,12,2018,900000,2,,5,10548.5833
03891244,12,2018,980000,2,,1,8817.1667
03891244,12,2018,980000,2,,2,8442.0833
03891244,12,2018,980000,2,,3,11029
03891244,12,2018,980000,2,,4,10763.8333
03891244,12,2018,980000,2,,5,10548.5833
03891244,12,2018,980071,2,,1,7409
03891244,12,2018,980071,2,,2,7033.9166667
03891244,12,2018,980071,2,,3,9620.8333333
03891244,12,2018,980071,2,,4,9355.6666667
03891244,12,2018,980071,2,,5,9140.4166667
03891254,10,2018,800940,2,,1,116.25
03891254,10,2018,800940,2,,2,116.25
03891254,10,2018,800940,2,,3,116.25
03891254,10,2018,800940,2,,4,116.25
03891254,10,2018,800940,2,,5,116.25
03891254,10,2018,900000,2,,1,1520
03891254,10,2018,900000,2,,2,1520
03891254,10,2018,900000,2,,3,1520
03891254,10,2018,900000,2,,4,1520
03891254,10,2018,900000,2,,5,1520
03891254,10,2018,980000,2,,1,1520
03891254,10,2018,980000,2,,2,1520
03891254,10,2018,980000,2,,3,1520
03891254,10,2018,980000,2,,4,1520
03891254,10,2018,980000,2,,5,1520
03891254,10,2018,980071,2,,1,1528.3333333
03891254,10,2018,980071,2,,2,1528.3333333
03891254,10,2018,980071,2,,3,1528.3333333
03891254,10,2018,980071,2,,4,1528.3333333
03891254,10,2018,980071,2,,5,1528.3333333
03891254,11,2018,800940,2,,1,116.25
03891254,11,2018,800940,2,,2,116.25
03891254,11,2018,800940,2,,3,116.25
03891254,11,2018,800940,2,,4,116.25
03891254,11,2018,800940,2,,5,116.25
03891254,11,2018,900000,2,,1,1520
03891254,11,2018,900000,2,,2,1520
03891254,11,2018,900000,2,,3,1520
03891254,11,2018,900000,2,,4,1520
03891254,11,2018,900000,2,,5,1520
03891254,11,2018,980000,2,,1,1520
03891254,11,2018,980000,2,,2,1520
03891254,11,2018,980000,2,,3,1520
03891254,11,2018,980000,2,,4,1520
03891254,11,2018,980000,2,,5,1520
03891254,11,2018,980071,2,,1,1528.3333333
03891254,11,2018,980071,2,,2,1528.3333333
03891254,11,2018,980071,2,,3,1528.3333333
03891254,11,2018,980071,2,,4,1528.3333333
03891254,11,2018,980071,2,,5,1528.3333333
03891254,12,2018,800940,2,,1,116.25
03891254,12,2018,800940,2,,2,116.25
03891254,12,2018,800940,2,,3,116.25
03891254,12,2018,800940,2,,4,116.25
03891254,12,2018,800940,2,,5,116.25
03891254,12,2018,900000,2,,1,1520
03891254,12,2018,900000,2,,2,1520
03891254,12,2018,900000,2,,3,1520
03891254,12,2018,900000,2,,4,1520
03891254,12,2018,900000,2,,5,1520
03891254,12,2018,980000,2,,1,1520
03891254,12,2018,980000,2,,2,1520
03891254,12,2018,980000,2,,3,1520
03891254,12,2018,980000,2,,4,1520
03891254,12,2018,980000,2,,5,1520
03891254,12,2018,980071,2,,1,1528.3333333
03891254,12,2018,980071,2,,2,1528.3333333
03891254,12,2018,980071,2,,3,1528.3333333
03891254,12,2018,980071,2,,4,1528.3333333
03891254,12,2018,980071,2,,5,1528.3333333
03891284,10,2018,900170,2,T,1,8079.6857
03891284,10,2018,900170,2,T,2,8079.6857
03891284,10,2018,900170,2,T,3,8079.6857
03891284,10,2018,900170,2,T,4,8079.6857
03891284,10,2018,900170,2,T,5,8079.6857
03891284,10,2018,900180,2,,1,416.6667
03891284,10,2018,900180,2,,2,416.6667
03891284,10,2018,900180,2,,3,416.6667
03891284,10,2018,900180,2,,4,416.6667
03891284,10,2018,900180,2,,5,416.6667
03891284,10,2018,900190,2,,1,2333.3333
03891284,10,2018,900190,2,,2,2333.3333
03891284,10,2018,900190,2,,3,2333.3333
03891284,10,2018,900190,2,,4,2333.3333
03891284,10,2018,900190,2,,5,2333.3333
03891284,10,2018,980000,2,T,1,10829.6857
03891284,10,2018,980000,2,T,2,10829.6857
03891284,10,2018,980000,2,T,3,10829.6857
03891284,10,2018,980000,2,T,4,10829.6857
03891284,10,2018,980000,2,T,5,10829.6857
03891284,10,2018,980071,2,T,1,8708.25
03891284,10,2018,980071,2,T,2,8708.25
03891284,10,2018,980071,2,T,3,8708.25
03891284,10,2018,980071,2,T,4,8708.25
03891284,10,2018,980071,2,T,5,8708.25
03891284,11,2018,900170,2,T,1,8079.6857
03891284,11,2018,900170,2,T,2,8079.6857
03891284,11,2018,900170,2,T,3,8079.6857
03891284,11,2018,900170,2,T,4,8079.6857
03891284,11,2018,900170,2,T,5,8079.6857
03891284,11,2018,900180,2,,1,416.6667
03891284,11,2018,900180,2,,2,416.6667
03891284,11,2018,900180,2,,3,416.6667
03891284,11,2018,900180,2,,4,416.6667
03891284,11,2018,900180,2,,5,416.6667
03891284,11,2018,900190,2,,1,2333.3333
03891284,11,2018,900190,2,,2,2333.3333
03891284,11,2018,900190,2,,3,2333.3333
03891284,11,2018,900190,2,,4,2333.3333
03891284,11,2018,900190,2,,5,2333.3333
03891284,11,2018,980000,2,T,1,10829.6857
03891284,11,2018,980000,2,T,2,10829.6857
03891284,11,2018,980000,2,T,3,10829.6857
03891284,11,2018,980000,2,T,4,10829.6857
03891284,11,2018,980000,2,T,5,10829.6857
03891284,11,2018,980071,2,T,1,8708.25
03891284,11,2018,980071,2,T,2,8708.25
03891284,11,2018,980071,2,T,3,8708.25
03891284,11,2018,980071,2,T,4,8708.25
03891284,11,2018,980071,2,T,5,8708.25
03891284,12,2018,900170,2,T,1,8079.6857
03891284,12,2018,900170,2,T,2,8079.6857
03891284,12,2018,900170,2,T,3,8079.6857
