NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03891254,12,2018,800940,2,116.2500,
03891254,12,2018,900000,2,1520.0000,
03891254,12,2018,950004,2,-15.0000,
03891254,12,2018,950014,2,6.6667,
03891254,12,2018,980000,2,1520.0000,
03891254,12,2018,980010,2,0.1667,
03891254,12,2018,980020,2,2.2500,
03891254,12,2018,980030,2,0.0833,
03891254,12,2018,980071,2,1528.3333,
03891254,12,2018,980220,2,8.3333,
03891254,12,2018,980260,2,8.3333,
03891254,12,2018,980281,2,8.3333,
03891254,12,2018,980286,2,8.3333,
03891254,12,2018,980310,2,8.3333,
03891254,12,2018,980340,2,8.3333,
03891254,12,2018,980350,2,8.3333,
03891254,12,2018,980360,2,0.1667,
03891284,10,2018,005100,2,4.2500,
03891284,10,2018,005110,2,6.7500,
03891284,10,2018,005200,2,5666.6667,
03891284,10,2018,005210,2,5833.3333,
03891284,10,2018,005400,2,16.6667,
03891284,10,2018,005420,2,8.0000,
03891284,10,2018,900170,2,8079.6857,T
03891284,10,2018,900180,2,416.6667,
03891284,10,2018,900190,2,2333.3333,
03891284,10,2018,950004,2,1556.2500,
03891284,10,2018,950014,2,565.1667,
03891284,10,2018,980000,2,10829.6857,T
03891284,10,2018,980010,2,0.0833,
03891284,10,2018,980020,2,6.0833,
03891284,10,2018,980040,2,0.0833,
03891284,10,2018,980060,2,0.0833,
03891284,10,2018,980071,2,8708.2667,T
03891284,10,2018,980090,1,8.3333,
03891284,10,2018,980220,2,8.3333,
03891284,10,2018,980230,2,8.3333,
03891284,10,2018,980281,2,8.3333,
03891284,10,2018,980286,2,8.3333,
03891284,10,2018,980310,2,8.3333,
03891284,10,2018,980330,2,8.3333,
03891284,10,2018,980350,2,8.3333,
03891284,11,2018,005100,2,4.2500,
03891284,11,2018,005110,2,6.7500,
03891284,11,2018,005200,2,5666.6667,
03891284,11,2018,005210,2,5833.3333,
03891284,11,2018,005400,2,16.6667,
03891284,11,2018,005420,2,8.0000,
03891284,11,2018,900170,2,8079.6857,T
03891284,11,2018,900180,2,416.6667,
03891284,11,2018,900190,2,2333.3333,
03891284,11,2018,950004,2,1556.2500,
03891284,11,2018,950014,2,565.1667,
03891284,11,2018,980000,2,10829.6857,T
03891284,11,2018,980010,2,0.0833,
03891284,11,2018,980020,2,6.0833,
03891284,11,2018,980040,2,0.0833,
03891284,11,2018,980060,2,0.0833,
03891284,11,2018,980071,2,8708.2667,T
03891284,11,2018,980090,1,8.3333,
03891284,11,2018,980220,2,8.3333,
03891284,11,2018,980230,2,8.3333,
03891284,11,2018,980281,2,8.3333,
03891284,11,2018,980286,2,8.3333,
03891284,11,2018,980310,2,8.3333,
03891284,11,2018,980330,2,8.3333,
03891284,11,2018,980350,2,8.3333,
03891284,12,2018,005100,2,4.2500,
03891284,12,2018,005110,2,6.7500,
03891284,12,2018,005200,2,5666.6667,
03891284,12,2018,005210,2,5833.3333,
03891284,12,2018,005400,2,16.6667,
03891284,12,2018,005420,2,8.0000,
03891284,12,2018,900170,2,8079.6857,T
03891284,12,2018,900180,2,416.6667,
03891284,12,2018,900190,2,2333.3333,
03891284,12,2018,950004,2,1556.2500,
03891284,12,2018,950014,2,565.1667,
03891284,12,2018,980000,2,10829.6857,T
03891284,12,2018,980010,2,0.0833,
03891284,12,2018,980020,2,6.0833,
03891284,12,2018,980040,2,0.0833,
03891284,12,2018,980060,2,0.0833,
03891284,12,2018,980071,2,8708.2667,T
03891284,12,2018,980090,1,8.3333,
03891284,12,2018,980220,2,8.3333,
03891284,12,2018,980230,2,8.3333,
03891284,12,2018,980281,2,8.3333,
03891284,12,2018,980286,2,8.3333,
03891284,12,2018,980310,2,8.3333,
03891284,12,2018,980330,2,8.3333,
03891284,12,2018,980350,2,8.3333,
03891354,10,2018,800940,2,223.1667,
03891354,10,2018,900000,2,2916.6667,
03891354,10,2018,950004,2,-134.6667,
03891354,10,2018,980000,2,2916.6667,
03891354,10,2018,980010,2,0.2500,
03891354,10,2018,980020,2,2.3333,
03891354,10,2018,980030,2,0.0833,
03891354,10,2018,980040,2,0.0833,
03891354,10,2018,980050,2,0.0833,
03891354,10,2018,980071,2,3051.3333,
03891354,10,2018,980220,2,8.3333,
03891354,10,2018,980260,2,8.3333,
03891354,10,2018,980281,2,8.3333,
03891354,10,2018,980285,2,8.3333,
03891354,10,2018,980300,2,8.3333,
03891354,10,2018,980330,2,8.3333,
03891354,10,2018,980350,2,8.3333,
03891354,11,2018,800940,2,223.1667,
03891354,11,2018,900000,2,2916.6667,
03891354,11,2018,950004,2,-134.6667,
03891354,11,2018,980000,2,2916.6667,
03891354,11,2018,980010,2,0.2500,
03891354,11,2018,980020,2,2.3333,
03891354,11,2018,980030,2,0.0833,
03891354,11,2018,980040,2,0.0833,
03891354,11,2018,980050,2,0.0833,
03891354,11,2018,980071,2,3051.3333,
03891354,11,2018,980220,2,8.3333,
03891354,11,2018,980260,2,8.3333,
03891354,11,2018,980281,2,8.3333,
03891354,11,2018,980285,2,8.3333,
03891354,11,2018,980300,2,8.3333,
03891354,11,2018,980330,2,8.3333,
03891354,11,2018,980350,2,8.3333,
03891354,12,2018,800940,2,223.1667,
03891354,12,2018,900000,2,2916.6667,
03891354,12,2018,950004,2,-134.6667,
03891354,12,2018,980000,2,2916.6667,
03891354,12,2018,980010,2,0.2500,
03891354,12,2018,980020,2,2.3333,
03891354,12,2018,980030,2,0.0833,
03891354,12,2018,980040,2,0.0833,
03891354,12,2018,980050,2,0.0833,
03891354,12,2018,980071,2,3051.3333,
03891354,12,2018,980220,2,8.3333,
03891354,12,2018,980260,2,8.3333,
03891354,12,2018,980281,2,8.3333,
03891354,12,2018,980285,2,8.3333,
03891354,12,2018,980300,2,8.3333,
03891354,12,2018,980330,2,8.3333,
03891354,12,2018,980350,2,8.3333,
03891384,10,2018,800940,2,153.0000,
03891384,10,2018,900000,2,2000.0000,
03891384,10,2018,950004,2,131.1667,
03891384,10,2018,950014,2,52.9167,
03891384,10,2018,980000,2,2000.0000,
03891384,10,2018,980010,2,0.0833,
03891384,10,2018,980020,2,4.5000,
03891384,10,2018,980030,2,0.0833,
03891384,10,2018,980040,2,0.2500,
03891384,10,2018,980071,2,1815.9167,
03891384,10,2018,980090,1,8.3333,
03891384,10,2018,980210,2,8.3333,
03891384,10,2018,980240,2,8.3333,
03891384,10,2018,980281,2,8.3333,
03891384,10,2018,980286,2,8.3333,
03891384,10,2018,980300,2,8.3333,
03891384,10,2018,980330,2,8.3333,
03891384,10,2018,980350,2,8.3333,
03891384,11,2018,800940,2,153.0000,
03891384,11,2018,900000,2,2000.0000,
03891384,11,2018,950004,2,131.1667,
03891384,11,2018,950014,2,52.9167,
03891384,11,2018,980000,2,2000.0000,
03891384,11,2018,980010,2,0.0833,
03891384,11,2018,980020,2,4.5000,
03891384,11,2018,980030,2,0.0833,
03891384,11,2018,980040,2,0.2500,
03891384,11,2018,980071,2,1815.9167,
03891384,11,2018,980090,1,8.3333,
03891384,11,2018,980210,2,8.3333,
03891384,11,2018,980240,2,8.3333,
03891384,11,2018,980281,2,8.3333,
03891384,11,2018,980286,2,8.3333,
03891384,11,2018,980300,2,8.3333,
03891384,11,2018,980330,2,8.3333,
03891384,11,2018,980350,2,8.3333,
03891384,12,2018,800940,2,153.0000,
03891384,12,2018,900000,2,2000.0000,
03891384,12,2018,950004,2,131.1667,
03891384,12,2018,950014,2,52.9167,
03891384,12,2018,980000,2,2000.0000,
03891384,12,2018,980010,2,0.0833,
03891384,12,2018,980020,2,4.5000,
03891384,12,2018,980030,2,0.0833,
03891384,12,2018,980040,2,0.2500,
03891384,12,2018,980071,2,1815.9167,
03891384,12,2018,980090,1,8.3333,
03891384,12,2018,980210,2,8.3333,
03891384,12,2018,980240,2,8.3333,
03891384,12,2018,980281,2,8.3333,
03891384,12,2018,980286,2,8.3333,
03891384,12,2018,980300,2,8.3333,
03891384,12,2018,980330,2,8.3333,
03891384,12,2018,980350,2,8.3333,
03891394,10,2018,005100,2,333.3333,
03891394,10,2018,005110,2,333.3333,
03891394,10,2018,005200,2,12500.0000,
03891394,10,2018,005210,2,10416.6667,
03891394,10,2018,005400,2,125.0000,
03891394,10,2018,005410,2,1083.3333,
03891394,10,2018,005420,2,50.0000,
03891394,10,2018,005500,2,8333.3333,
03891394,10,2018,005510,2,10000.0000,
03891394,10,2018,800940,2,605.6667,
03891394,10,2018,900000,2,7916.6667,
03891394,10,2018,950004,2,1407.4167,
03891394,10,2018,950014,2,228.3333,
03891394,10,2018,980000,2,7916.6667,
03891394,10,2018,980010,2,0.0833,
03891394,10,2018,980020,2,3.6667,
03891394,10,2018,980030,2,0.0833,
03891394,10,2018,980071,2,6280.9167,
03891394,10,2018,980090,1,8.3333,
03891394,10,2018,980210,2,8.3333,
03891394,10,2018,980240,2,8.3333,
03891394,10,2018,980281,2,8.3333,
03891394,10,2018,980286,2,8.3333,
03891394,10,2018,980310,2,8.3333,
03891394,10,2018,980340,2,8.3333,
03891394,10,2018,980350,2,8.3333,
03891394,10,2018,980360,2,0.0833,
03891394,11,2018,005100,2,333.3333,
03891394,11,2018,005110,2,333.3333,
