NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03944194,02,2019,005410,2,416.6667,
03944194,02,2019,800940,2,262.0000,
03944194,02,2019,900000,2,3425.0000,
03944194,02,2019,950004,2,141.6667,
03944194,02,2019,980000,2,3425.0000,
03944194,02,2019,980010,2,0.1667,
03944194,02,2019,980020,2,4.8333,
03944194,02,2019,980030,2,0.1667,
03944194,02,2019,980040,2,0.0833,
03944194,02,2019,980071,2,3283.3333,
03944194,02,2019,980090,1,8.3333,
03944194,02,2019,980220,2,8.3333,
03944194,02,2019,980230,2,8.3333,
03944194,02,2019,980281,2,8.3333,
03944194,02,2019,980285,2,8.3333,
03944194,02,2019,980310,2,8.3333,
03944194,02,2019,980330,2,8.3333,
03944194,02,2019,980350,2,8.3333,
03944194,03,2019,005400,2,8.3333,
03944194,03,2019,005410,2,416.6667,
03944194,03,2019,800940,2,262.0000,
03944194,03,2019,900000,2,3425.0000,
03944194,03,2019,950004,2,141.6667,
03944194,03,2019,980000,2,3425.0000,
03944194,03,2019,980010,2,0.1667,
03944194,03,2019,980020,2,4.8333,
03944194,03,2019,980030,2,0.1667,
03944194,03,2019,980040,2,0.0833,
03944194,03,2019,980071,2,3283.3333,
03944194,03,2019,980090,1,8.3333,
03944194,03,2019,980220,2,8.3333,
03944194,03,2019,980230,2,8.3333,
03944194,03,2019,980281,2,8.3333,
03944194,03,2019,980285,2,8.3333,
03944194,03,2019,980310,2,8.3333,
03944194,03,2019,980330,2,8.3333,
03944194,03,2019,980350,2,8.3333,
03944204,01,2019,005100,2,100.0000,
03944204,01,2019,005110,2,125.0000,
03944204,01,2019,800940,2,394.9000,
03944204,01,2019,900000,2,5162.0500,
03944204,01,2019,950004,2,82.5000,
03944204,01,2019,980000,2,5162.0500,
03944204,01,2019,980010,2,0.2500,
03944204,01,2019,980020,2,3.0000,
03944204,01,2019,980030,2,0.0833,
03944204,01,2019,980040,2,0.0833,
03944204,01,2019,980050,2,0.1667,
03944204,01,2019,980071,2,5079.5500,
03944204,01,2019,980220,2,8.3333,
03944204,01,2019,980260,2,8.3333,
03944204,01,2019,980281,2,8.3333,
03944204,01,2019,980285,2,8.3333,
03944204,01,2019,980310,2,8.3333,
03944204,01,2019,980330,2,8.3333,
03944204,01,2019,980350,2,8.3333,
03944204,02,2019,005100,2,100.0000,
03944204,02,2019,005110,2,125.0000,
03944204,02,2019,800940,2,394.9000,
03944204,02,2019,900000,2,5162.0500,
03944204,02,2019,950004,2,82.5000,
03944204,02,2019,980000,2,5162.0500,
03944204,02,2019,980010,2,0.2500,
03944204,02,2019,980020,2,3.0000,
03944204,02,2019,980030,2,0.0833,
03944204,02,2019,980040,2,0.0833,
03944204,02,2019,980050,2,0.1667,
03944204,02,2019,980071,2,5079.5500,
03944204,02,2019,980220,2,8.3333,
03944204,02,2019,980260,2,8.3333,
03944204,02,2019,980281,2,8.3333,
03944204,02,2019,980285,2,8.3333,
03944204,02,2019,980310,2,8.3333,
03944204,02,2019,980330,2,8.3333,
03944204,02,2019,980350,2,8.3333,
03944204,03,2019,005100,2,100.0000,
03944204,03,2019,005110,2,125.0000,
03944204,03,2019,800940,2,394.9000,
03944204,03,2019,900000,2,5162.0500,
03944204,03,2019,950004,2,82.5000,
03944204,03,2019,980000,2,5162.0500,
03944204,03,2019,980010,2,0.2500,
03944204,03,2019,980020,2,3.0000,
03944204,03,2019,980030,2,0.0833,
03944204,03,2019,980040,2,0.0833,
03944204,03,2019,980050,2,0.1667,
03944204,03,2019,980071,2,5079.5500,
03944204,03,2019,980220,2,8.3333,
03944204,03,2019,980260,2,8.3333,
03944204,03,2019,980281,2,8.3333,
03944204,03,2019,980285,2,8.3333,
03944204,03,2019,980310,2,8.3333,
03944204,03,2019,980330,2,8.3333,
03944204,03,2019,980350,2,8.3333,
03944214,01,2019,005100,2,77.7500,
03944214,01,2019,005110,2,75.2500,
03944214,01,2019,900030,2,1068.5000,
03944214,01,2019,900150,2,116.0000,
03944214,01,2019,980000,2,1184.5000,
03944214,01,2019,980010,2,0.0833,
03944214,01,2019,980020,2,7.3491,T
03944214,01,2019,980060,2,0.0833,
03944214,01,2019,980071,2,1184.5000,
03944214,01,2019,980210,2,8.3333,
03944214,01,2019,980260,2,8.3333,
03944214,01,2019,980270,2,8.3333,
03944214,01,2019,980286,2,8.3333,
03944214,01,2019,980300,2,8.3333,
03944214,02,2019,005100,2,77.7500,
03944214,02,2019,005110,2,75.2500,
03944214,02,2019,900030,2,1068.5000,
03944214,02,2019,900150,2,116.0000,
03944214,02,2019,980000,2,1184.5000,
03944214,02,2019,980010,2,0.0833,
03944214,02,2019,980020,2,7.3491,T
03944214,02,2019,980060,2,0.0833,
03944214,02,2019,980071,2,1184.5000,
03944214,02,2019,980210,2,8.3333,
03944214,02,2019,980260,2,8.3333,
03944214,02,2019,980270,2,8.3333,
03944214,02,2019,980286,2,8.3333,
03944214,02,2019,980300,2,8.3333,
03944214,03,2019,005100,2,77.7500,
03944214,03,2019,005110,2,75.2500,
03944214,03,2019,900030,2,1068.5000,
03944214,03,2019,900150,2,116.0000,
03944214,03,2019,980000,2,1184.5000,
03944214,03,2019,980010,2,0.0833,
03944214,03,2019,980020,2,7.3491,T
03944214,03,2019,980060,2,0.0833,
03944214,03,2019,980071,2,1184.5000,
03944214,03,2019,980210,2,8.3333,
03944214,03,2019,980260,2,8.3333,
03944214,03,2019,980270,2,8.3333,
03944214,03,2019,980286,2,8.3333,
03944214,03,2019,980300,2,8.3333,
03944224,01,2019,900150,2,192.0000,
03944224,01,2019,980000,2,192.0000,
03944224,01,2019,980010,2,0.0833,
03944224,01,2019,980020,2,4.7500,
03944224,01,2019,980071,2,192.0000,
03944224,01,2019,980210,2,8.3333,
03944224,01,2019,980260,2,8.3333,
03944224,01,2019,980281,2,8.3333,
03944224,01,2019,980286,2,8.3333,
03944224,01,2019,980300,2,8.3333,
03944224,02,2019,900150,2,192.0000,
03944224,02,2019,980000,2,192.0000,
03944224,02,2019,980010,2,0.0833,
03944224,02,2019,980020,2,4.7500,
03944224,02,2019,980071,2,192.0000,
03944224,02,2019,980210,2,8.3333,
03944224,02,2019,980260,2,8.3333,
03944224,02,2019,980281,2,8.3333,
03944224,02,2019,980286,2,8.3333,
03944224,02,2019,980300,2,8.3333,
03944224,03,2019,900150,2,192.0000,
03944224,03,2019,980000,2,192.0000,
03944224,03,2019,980010,2,0.0833,
03944224,03,2019,980020,2,4.7500,
03944224,03,2019,980071,2,192.0000,
03944224,03,2019,980210,2,8.3333,
03944224,03,2019,980260,2,8.3333,
03944224,03,2019,980281,2,8.3333,
03944224,03,2019,980286,2,8.3333,
03944224,03,2019,980300,2,8.3333,
03944274,01,2019,005400,2,55.8333,
03944274,01,2019,005410,2,100.0000,
03944274,01,2019,800940,2,516.4167,
03944274,01,2019,900000,2,6750.0000,
03944274,01,2019,950004,2,-4.5833,
