detail,component,exclusion_group,fred_series,ucc
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320904
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,340904
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,430130
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690111
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690112
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690210
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690220
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690230
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690241
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690242
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690243
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690244
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,690245
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340310
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340410
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340420
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340520
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340530
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340903
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340906
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340910
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340914
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340915
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340211
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340212
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,670310
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,330511
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340510
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340620
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340630
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340901
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340907
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,340908
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,690113
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,690114
household_operations_total,household_repairs_operations,other,CUUR0000SAH3,990900
property_taxes,property_taxes,property_taxes,CUUR0000SEHC,220211
public_transportation,public_transportation,other,CUUR0000SETG,530110
public_transportation,public_transportation,other,CUUR0000SETG,530210
public_transportation,public_transportation,other,CUUR0000SETG,530312
public_transportation,public_transportation,other,CUUR0000SETG,530411
public_transportation,public_transportation,other,CUUR0000SETG,530510
public_transportation,public_transportation,other,CUUR0000SETG,530901
public_transportation,public_transportation,other,CUUR0000SETG,530311
public_transportation,public_transportation,other,CUUR0000SETG,530412
public_transportation,public_transportation,other,CUUR0000SETG,530902
health_insurance,health_insurance,other,CUUR0000SAM2,580111
